id,author,datetime,message,jira,commit,repo,package,smell,cause,metric,# classes,plot_pos,is_gc
90a2202b5b4a75e7f673bfb42a912cb97ae6d26e,Tim Allison,2015-06-28 01:57:30+00:00,TIKA-1663 add a DigestingParser,TIKA-1663,90a2202b5b4a75e7f673bfb42a912cb97ae6d26e,tika-cpu_1,org.apache.tika.batch,God Component,MANY_CLASSES,31.0,31.0,15,True
9d34cbb92a43bc52b4886954e0771ca6eea96bad,Tim Allison,2017-05-18 06:12:50-04:00,Merge pull request #181 from icirellik/close-fonts,,9d34cbb92a43bc52b4886954e0771ca6eea96bad,tika-cpu_23,org.apache.tika.detect,God Component,MANY_CLASSES,31.0,31.0,14,True
b5b4eb6fde6c34c12d534e9412c0c73326b9886c,Cameron Rollheiser,2017-05-17 09:44:34-04:00,TrueTypeParser Close Open Fonts,,,,org.apache.tika.detect,,,,,14,False
6d022be03b5423f6c036e1aa45e4ce02a9678462,tballison,2017-02-23 15:54:42-05:00,TIKA-2273 -- two tests turned off temporarily in bundle.  First draft of adding configurability to EncodingDetectors,TIKA-2273,6d022be03b5423f6c036e1aa45e4ce02a9678462,tika-cpu_16,org.apache.tika.detect,God Component,MANY_CLASSES,31.0,31.0,14,True
f54cb9e354b71e720602acfa0b4da8f100b400c2,Chris Mattmann,2015-05-04 21:52:53+00:00,TIKA-1562: Add examples from the Tika in Action book,TIKA-1562,f54cb9e354b71e720602acfa0b4da8f100b400c2,tika-cpu_2,org.apache.tika.example,God Component,MANY_CLASSES,43.0,43.0,13,True
cb1bbc052188bf5e45e5dc17570180df1fe27df9,tballison,2018-05-31 15:25:08-04:00,Merge remote-tracking branch 'origin/master' into TIKA-2653,TIKA-2653,cb1bbc052188bf5e45e5dc17570180df1fe27df9,tika-cpu_15,org.apache.tika.fork,God Component,MANY_CLASSES,31.0,31.0,12,True
ce07d8a10499fae015f07ca4fd4daf3473ca5193,tballison,2016-09-26 12:24:14-04:00,TIKA-2057 - maintain DocInfo metadata in PDFs,TIKA-2057,ce07d8a10499fae015f07ca4fd4daf3473ca5193,tika-cpu_13,org.apache.tika.metadata,God Component,MANY_CLASSES,31.0,31.0,11,True
281fedfc86acbb5e01015f1462a27a86a65403f0,Chris Mattmann,2015-05-02 04:58:35+00:00,Fix for TIKA-1571 add probabilistic mime selection contributed by LukeLiush <hanson311biz@gmail.com> this closes #41.,TIKA-1571,281fedfc86acbb5e01015f1462a27a86a65403f0,tika-cpu_2,org.apache.tika.mime,God Component,MANY_CLASSES,31.0,31.0,10,True
90a2202b5b4a75e7f673bfb42a912cb97ae6d26e,Tim Allison,2015-06-28 01:57:30+00:00,TIKA-1663 add a DigestingParser,TIKA-1663,90a2202b5b4a75e7f673bfb42a912cb97ae6d26e,tika-cpu_1,org.apache.tika.parser,God Component,MANY_CLASSES,32.0,32.0,9,True
5f506c1627d442f9366a1eafef1a0195fa24bf79,Tyler Palsulich,2015-03-31 21:37:31+00:00,TIKA-1558. Refactor Parser blacklisting.,TIKA-1558,,,org.apache.tika.parser,,,,,9,False
